Country Name,Country Code,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Aruba,ABW,,,,,,,,9764.789979,14046.50376,16586.06844,20620.70063,22569.97499,27084.70369,24713.69805,28281.35048
Afghanistan,AFG,59.77319384,82.09523071,129.1083231,135.3173083,197.4455076,272.6552857,,,,,,211.3821169,364.6607448,641.8714792,509.2186613
Angola,AGO,,,,,,710.9816481,637.7152307,792.3031202,656.361756,522.6438073,556.8363181,1255.564045,4080.94141,5100.095808,3506.072885
Albania,ALB,,,,,,,639.4847358,652.7743214,200.8522198,1009.977668,1126.683318,2373.579844,4370.540127,4247.629984,4124.055726
Andorra,AND,,,,4217.173581,7152.375134,12377.41165,7728.906695,14304.35696,20547.71179,19017.17459,21854.2468,37969.17499,48718.49687,38686.46126,37474.66541
Arab World,ARB,,,224.8781102,343.5658159,1007.140442,2052.955822,1672.278832,1476.041204,2027.828857,2235.934176,2605.633263,3134.840632,6149.511489,7466.811811,6112.105953
United Arab Emirates,ARE,,,,,30118.13778,42764.45666,32309.80774,22295.14611,26420.87275,28975.0229,33291.41937,36333.24984,44498.93423,40976.49971,38141.84676
Argentina,ARG,,1173.238213,1141.080481,1408.865208,1948.224686,2758.835212,2659.7086,3985.19121,6823.537616,7721.354543,7708.100996,4277.721351,9020.873098,13082.66433,12790.24247
Armenia,ARM,,,,,,,,,369.6326166,504.0585594,622.7421391,1191.91902,4010.857243,3681.857456,3591.829276
American Samoa,ASM,,,,,,,,,,,,8578.944723,9792.666806,11568.793,11696.95556
Antigua and Barbuda,ATG,,,,,,2124.481155,3372.4929,6453.477,7744.280087,9030.961048,10871.00571,11448.53652,16043.54217,13272.44133,15197.61746
Australia,AUS,1807.78571,2128.068355,2720.082609,3943.787639,7476.748748,10194.39454,12431.94585,14254.51356,18570.12046,21861.32551,21679.24784,30430.67644,49601.65671,68012.1479,49971.13146
Austria,AUT,935.4604269,1269.412583,1677.673528,2924.048879,5678.386658,10869.54649,8991.06504,17578.61894,24880.16412,29809.07677,24564.45829,36821.52147,51708.76575,48567.69529,45276.83144
Azerbaijan,AZE,,,,,,,,,676.1515115,409.2107552,655.0974326,1045.009379,5574.603802,7496.294648,3880.738731
Burundi,BDI,70.05173464,86.16160646,54.90081144,69.13940168,118.9149015,221.2318354,213.6165178,209.4150634,190.489014,143.4023001,136.4639708,128.3366128,198.3529006,252.3589799,282.1931304
Belgium,BEL,1273.691659,1701.846276,2222.361511,3831.6319,7243.047341,12864.00257,8457.268803,16391.09383,23372.61917,27489.55518,23041.53473,35364.37533,48106.89292,44673.11588,41984.10303
