Country Code,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
AFG,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
AHO,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ALG,0,0,0,0,0,0,2,0,2,3,5,0,2,1,2
ARG,2,1,2,1,0,0,0,2,1,3,4,6,6,4,4
ARM,0,0,0,0,0,0,0,0,0,2,1,0,5,2,4
AUS,22,18,17,17,5,9,24,14,27,41,58,50,46,35,29
AUT,2,0,4,3,1,4,3,1,2,3,3,7,3,0,1
AZE,0,0,0,0,0,0,0,0,0,1,3,5,6,9,18
BAH,0,1,0,0,0,0,0,0,1,1,3,2,2,1,2
BAR,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BDI,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BEL,4,3,2,2,6,1,4,2,3,6,5,3,2,3,6
BER,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BLR,0,0,0,0,0,0,0,0,0,15,17,13,14,10,9
BOT,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BRA,2,1,3,2,2,4,8,6,3,15,12,10,17,17,19
BRN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
BUL,7,10,9,21,22,41,0,35,16,15,13,12,5,3,3
BWI,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAN,1,4,5,5,11,0,44,10,18,22,14,12,20,18,22
CHI,0,0,0,0,0,0,0,1,0,0,1,3,1,0,0
CHN,0,0,0,0,0,0,32,28,54,50,58,63,100,91,70
CIV,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
CMR,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0
COL,0,0,0,3,0,0,1,1,1,0,1,2,3,8,8
CRC,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0
CRO,0,0,0,0,0,0,0,0,3,2,2,5,5,6,10
CUB,0,1,4,8,13,20,0,0,31,25,29,27,30,15,11
CYP,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CZE,0,0,0,0,0,0,0,0,0,11,8,9,7,11,10
DEN,6,6,8,1,3,5,6,4,6,6,6,8,7,9,15
DJI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DOM,0,0,0,0,0,0,1,0,0,0,0,1,2,2,1
ECU,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
EGY,2,0,0,0,0,0,1,0,0,0,0,5,2,4,3
EGY,2,0,0,0,0,0,1,0,0,0,0,5,2,4,3
ERI,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ESP,1,0,0,1,2,6,5,4,22,17,11,20,19,18,17
EST,0,0,0,0,0,0,0,0,2,0,3,3,2,2,1
ETH,1,1,2,2,0,4,0,0,3,3,8,7,7,8,8
EUA,42,50,0,0,0,0,0,0,0,0,0,0,0,0,0
FIJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FIN,5,5,4,8,6,8,12,4,5,4,4,2,4,3,1
FRA,5,15,15,13,9,14,28,16,29,37,38,33,43,35,42
FRG,0,0,26,40,39,0,59,40,0,0,0,0,0,0,0
GAB,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
GBR,20,18,13,18,13,21,37,24,20,15,28,30,51,65,67
GDR,0,0,25,66,90,126,0,102,0,0,0,0,0,0,0
GEO,0,0,0,0,0,0,0,0,0,2,6,4,7,6,7
GER,0,0,0,0,0,0,0,0,82,65,56,49,41,44,42
GHA,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
GRE,1,0,1,2,0,3,2,1,2,8,13,16,3,2,6
GRN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
