Country Name,Country Code,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Aruba,ABW,54211,57032,58386,59840,60586,60096,62836,61079,68235,83200,90853,98737,101358,102560,104872
Afghanistan,AFG,8996973,9744781,10637063,11791215,12943093,13356511,12204292,11618005,14485546,18853437,20779953,24726684,27722276,31161376,35383128
Angola,AGO,5454933,5735044,5771652,6248552,7279509,8341289,9614754,11068050,12657366,14400719,16395473,18758145,21695634,25107931,28842484
Albania,ALB,1608800,1814135,2022272,2243126,2458526,2671997,2904429,3142336,3247039,3168033,3089027,3026939,2947314,2900401,2876101
Andorra,AND,13411,17469,21890,26892,31777,36067,42706,50434,58888,64360,65390,76244,83862,82427,77297
Arab World,ARB,92197753,102832760,115136178,128598734,144453278,164420785,186035305,208889682,232956352,259000953,282344154,307862843,338395961,371443547,404024435
United Arab Emirates,ARE,92418,138039,182627,330974,637922,1019509,1293971,1627066,2052891,2539126,3134062,4068570,7089487,9141596,9360980
Argentina,ARG,20481779,21824425,23168267,24653175,26264681,27896528,29737093,31668949,33529326,35246374,36870787,38491972,40080160,41733271,43590368
Armenia,ARM,1874121,2145001,2401143,2650486,2889579,3099754,3285599,3504659,3442817,3168221,3069591,3000720,2907618,2884229,2936146
American Samoa,ASM,20123,22854,25989,28567,30456,32646,37946,44343,49896,54211,57821,59681,57492,55667,55741
Antigua and Barbuda,ATG,54131,57641,62521,64133,62367,61865,61786,61771,64471,70173,76016,80336,85397,90409,94527
Australia,AUS,10276477,11167000,12009000,13177000,14033000,14692000,15544000,16532200,17495000,18311000,19153000,20127400,21249200,22733465,24190907
Austria,AUT,7047539,7223801,7415403,7544201,7565525,7549433,7561434,7585317,7840709,7959017,8011566,8171966,8321496,8429991,8736668
Azerbaijan,AZE,3895397,4456687,4960232,5385263,5768721,6150733,6557581,7010027,7382000,7763000,8048600,8306500,8763400,9295784,9757812
Burundi,BDI,2797932,3026290,3336927,3569666,3770871,4157298,4621103,5168698,5685565,6060111,6378871,7131693,8126102,9245988,10487998
Belgium,BEL,9153489,9378113,9618756,9711115,9818227,9859242,9855372,9901664,10045158,10156637,10251250,10421137,10709973,11106932,11331422
Benin,BEN,2431622,2585965,2791590,3043567,3347173,3717165,4156819,4672852,5331803,6094259,6865951,7750004,8696921,9729248,10872067
Burkina Faso,BFA,4829288,5098890,5434041,5825173,6274037,6822843,7531242,8356305,9297113,10372745,11607942,13030569,14689725,16571246,18646378
Bangladesh,BGD,48013504,53741716,60918454,66625705,71652381,79639491,88416521,98186350,107983704,117649932,127657854,136986432,144304167,151007807,157970840
Bulgaria,BGR,7867374,8144340,8369603,8576200,8758599,8861535,8960679,8981446,8540164,8362826,8170172,7716860,7492561,7305888,7127822
Bahrain,BHR,162427,182887,200653,229155,283752,359888,407225,465198,523086,578666,664611,829844,1114641,1299943,1425791
"Bahamas, The",BHS,109534,133709,158648,177866,192909,210591,229923,247451,266029,283978,298051,318894,343681,363584,377931
Bosnia and Herzegovina,BIH,3225668,3478997,3675454,3851153,4025266,4179855,4350577,4509461,4233676,3764425,3751176,3764194,3754271,3604972,3386267
Belarus,BLR,8198000,8524224,8874552,9188968,9411000,9643000,9910000,10140000,10216000,10160000,9979610,9730146,9527985,9464495,9501534
Belize,BLZ,92064,103069,116061,127150,135147,144155,160347,179028,194324,213664,247315,276504,306823,338000,368400
Bermuda,BMU,44400,48900,53000,54200,53200,54670,56423,58347,58595,60129,61833,63740,65273,64798,64554
Bolivia,BOL,3656955,3957757,4297517,4682390,5113456,5579935,6054123,6580312,7160920,7779267,8418264,9069039,9721454,10377676,11031813
Brazil,BRA,72179226,81064571,90387079,99859383,109790938,120694009,132383568,143627503,154259380,164614688,174790340,184006481,192030362,199287296,206163058
Barbados,BRB,230980,234586,237241,241515,247583,252394,255497,258977,262886,267049,271515,275284,279946,283700,285796
Brunei Darussalam,BRN,81702,97812,117898,142022,168181,193879,218175,244404,273892,304622,333165,359433,379421,398989,419800
Bhutan,BTN,223288,246964,278734,316828,359725,406875,451476,509540,534516,541465,591021,638815,671613,701583,736709
Botswana,BWA,502745,547873,596947,667092,769979,897868,1031439,1200067,1363554,1504730,1643334,1765527,1915639,2039551,2159944
Central African Republic,CAF,1501668,1608616,1744194,1867782,1997014,2199356,2478382,2693973,2959236,3308233,3640427,3959875,4273366,4436415,4537687
Canada,CAN,17909009,19325000,20744000,22218463,23449808,24515667,25607053,26791747,28371264,29610218,30685730,31940655,33247118,34714222,36109487
Central Europe and the Baltics,CEB,91401764,94715795,97884022,100357161,103776068,106541316,108838073,110686740,110111454,109626194,108447824,106331716,105001883,103935318,102994278
Switzerland,CHE,5327827,5789228,6067714,6260956,6302504,6319408,6441865,6593386,6875364,7071850,7184250,7389625,7647675,7996861,8373338
Channel Islands,CHI,109420,113773,118726,123614,126902,128212,132446,138245,142006,144335,148443,150716,156433,162056,166923
Chile,CHL,8132990,8821858,9468845,10103674,10756878,11419348,12078135,12847708,13719819,14587370,15342353,16014971,16708258,17400347,18209068
China,CHN,667070000,698355000,774510000,862030000,930685000,981235000,1036825000,1101630000,1164970000,1217550000,1262645000,1296075000,1324655000,1350695000,1378665000
Cote d'Ivoire,CIV,3503553,4071411,4713135,5576038,6713950,8033650,9530107,11094748,12812421,14665127,16454668,17970494,19605569,21547188,23822714
Cameroon,CMR,5176918,5643036,6201413,6867178,7664406,8621406,9757841,11075422,12499499,13970813,15513945,17259322,19252666,21485266,23926539
"Congo, Dem. Rep.",COD,15248251,16903831,18913878,21121363,23560464,26358908,29119673,32443781,37333914,42757243,47105826,53068880,60411195,69020747,78789127
"Congo, Rep.",COG,1018253,1125352,1253760,1406522,1582358,1777934,1996995,2231465,2489952,2785810,3127411,3510468,4011486,4510198,4980999
Colombia,COL,16057714,18175187,20393704,22516429,24608102,26900508,29331230,31822527,34422568,37076387,39629965,42075953,44254972,46075721,48175048
Comoros,COM,191121,203753,220575,239235,265953,307829,345466,387963,436448,488627,542357,597228,657229,723871,795592
Cabo Verde,CPV,201765,222948,256176,271843,271342,283847,306136,325746,355757,395533,428188,456617,480842,505235,531146
Costa Rica,CRI,1330782,1539941,1747694,1944169,2148677,2389977,2664223,2960929,3286520,3632362,3962372,4225155,4463125,4688000,4899345
Caribbean small states,CSS,4194713,4508192,4773905,5012610,5246556,5482214,5751531,5930167,6112812,6331271,6513489,6696953,6878970,7072661,7269385
Cuba,CUB,7141250,7793262,8413552,9025345,9554188,9849459,10031649,10397511,10736387,10939293,11126430,11250365,11236971,11257101,11335109
Curacao,CUW,124826,133148,140298,147710,149399,148041,151940,149254,143912,146306,133860,134192,145880,152088,159664
Cayman Islands,CYM,7865,8298,8631,10133,13025,16212,18670,22761,27780,34065,42303,47902,53836,58958,62569
Cyprus,CYP,572930,578625,598495,627998,657527,685405,697714,736474,800611,873423,943290,1010408,1081563,1135046,1170187
Czech Republic,CZE,9602006,9727804,9876346,9867632,10125939,10304193,10330213,10355276,10319123,10315241,10255063,10197101,10384603,10510785,10566332
Germany,DEU,72814900,75318337,77294314,78688452,78336950,78288576,77858685,78144619,80624598,81914831,82211508,82516260,82110097,80425823,82348669
Djibouti,DJI,83636,107583,140462,179224,248556,358960,406017,528999,615054,643654,717584,771603,816358,868136,929112
Dominica,DMA,60011,63926,69040,71731,72654,75314,73851,71208,70544,70936,69650,70382,70827,70965,71307
Denmark,DNK,4579603,4722072,4864883,4991596,5072596,5123027,5111619,5129516,5171370,5263074,5339616,5404523,5493621,5591572,5728010
Dominican Republic,DOM,3294224,3757132,4247558,4755459,5275770,5803927,6331764,6863441,7408342,7952763,8471321,8974444,9458075,9930911,10397743
Algeria,DZA,11057863,12221675,13663583,15285990,17085801,19221665,21763575,24443467,27028326,29266405,31042235,32692163,34730608,37383887,40551404
East Asia & Pacific (excluding high income),EAP,894875726,952494250,1057848884,1176909471,1277786904,1360437111,1451901708,1553548245,1652528229,1738949813,1816455805,1880248895,1938057249,1994391099,2053103802
Early-demographic dividend,EAR,980003388,1077531290,1187474717,1309397192,1442862531,1589897381,1758863237,1937278906,2117785725,2294576673,2472852818,2646483566,2820636594,2994364055,3164386912
East Asia & Pacific,EAS,1040958103,1110214377,1224531259,1355934900,1467569010,1559194619,1659131214,1767429690,1872480731,1965146504,2047640119,2115458616,2177119142,2236819053,2298486142
Europe & Central Asia (excluding high income),ECA,256240337,272959737,287134674,300287182,313549206,327228908,341334726,355779850,365331302,368313051,369143668,370083723,373751805,382509766,392870484
Europe & Central Asia,ECS,666753314,698355562,725725288,749283628,772129299,793299477,812662240,832553366,848877903,856856889,861278548,868808156,880829122,893788642,910904758
Ecuador,ECU,4543666,5093854,5725459,6429379,7187787,7989186,8843462,9755579,10716129,11703174,12681123,13596388,14535739,15474102,16491115
"Egypt, Arab Rep.",EGY,26632894,29644875,32881848,36102659,39422730,43309063,47968642,53399246,58666814,63601629,68831561,74172073,79636079,86422240,94447072
Euro area,EMU,265203934,275163387,283866409,290874595,297251524,302184230,305299134,308516473,314162058,318003015,321310791,327682505,334274725,336159194,340481753
Eritrea,ERI,1007590,1118159,1242635,1384797,1547975,1733416,1946305,2185605,2257596,2196464,2292416,2719803,3062779,,
Spain,ESP,30455000,31609195,33113134,34604469,36137812,37491165,38330364,38766939,39157685,39889852,40567864,42921895,45954106,46773055,46484062
Estonia,EST,1211537,1277086,1331214,1392518,1439576,1477219,1518617,1561900,1533091,1415594,1396985,1362550,1337090,1322696,1315790
